id_estacion;nombre_estacion;long_estacion;lat_estacion;domicilio_estacion;tipo_estacion;observaciones;horario_estacion
165.0;Plaza Monseñor Miguel de Andrea;-5.840.785.166.335.990;-34.597.763.577.063.300;Plaza Monseñor Miguel de Andrea (Anchorena 900);AUTOMÁTICA;jun-17;Estación automática: disponibilidad las 24 horas
166.0;Cementerio de la Recoleta;-583.933.174.506.005;-345.891.497.441.135;Vicente López 2050 entre Junín y Uriburu;AUTOMÁTICA;Inaugurada 3/10/2016;Estación automática: disponibilidad las 24 horas
167.0;Hipólito Yrigoyen;-5.842.878.106.059.360;-3.461.506.434.662;Hipolito Yrigoyen entre Muñiz y La Plata;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
168.0;Estados Unidos;-583.812.826.082.139;-34.618.619.956.816.600;Estados Unidos y Lima;AUTOMÁTICA;jun-17;Estación automática: disponibilidad las 24 horas
169.0;Facultad de Psicología;-584.119.247.639.604;-346.120.200.280.467;Hipólito Yrigoyen y 24 de Noviembre;AUTOMÁTICA;jul-17;Estación automática: disponibilidad las 24 horas
170.0;San Luis y Ecuador;-584.059.662.231.588;-345.997.327.041.382;San Luis 2862 entre Ecuador y Boulogne Sur Mer;AUTOMÁTICA;jun-17;Estación automática: disponibilidad las 24 horas
171.0;Pasteur;-583.995.268.655.325;-346.032.429.525.726;Pasteur 501 entre Tucumán y Lavalle;AUTOMÁTICA;jun-17;Estación automática: disponibilidad las 24 horas
172.0;Brasil;-583.709.849.319.133;-346.256.071.806.032;Brasil y Defensa;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
173.0;Plaza Cecilia Grierson;-583.747.525.088.729;-346.220.599.419.731;Av San Juan 632;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
174.0;Ministerio de Educación;-5.839.154.877.509.870;-345.972.614.724.898;Marcelo T De Alvear 1698 y Rodríguez Peña;AUTOMÁTICA;jul-17;Estación automática: disponibilidad las 24 horas
175.0;Esmeralda y Corrientes;-5.837.810.663.722.550;-346.037.187.781.396;Esmeralda y Av Corrientes;AUTOMÁTICA;feb-17;Estación automática: disponibilidad las 24 horas
176.0;Pinzón;-583.609.331.461.699;-346.340.720.907.317;Pinzón 469 y Martín Rodríguez;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
177.0;Planetario;-584.121.585.445.467;-345.680.738.913.864;Av. Roldan, Belisario y Av. Sarmiento;AUTOMÁTICA;jul-17;Estación automática: disponibilidad las 24 horas
178.0;José Marmol;-5.842.486.660.380.930;-34.623.457.406.189.200;José Marmol 803 y Estados Unidos;AUTOMÁTICA;jul-17;Estación automática: disponibilidad las 24 horas
179.0;La Boca;-583.603.993.063.349;-346.391.140.733.123;Don Pedro de Mendoza 1819;AUTOMÁTICA;Inauguración 05/12/2017;Estación automática: disponibilidad las 24 horas
180.0;Castro y México;-584.204.709.626.304;-34.619.802.649.015;Castro 680 entre México y Agrelo;AUTOMÁTICA;jul-17;Estación automática: disponibilidad las 24 horas
181.0;Billinghurst y Mansilla;-58.411.913.670.783.600;-345.926.966.138.816;Billinghurst 1533 y Mansilla;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
182.0;Ravignani y Guatemala;-584.352.336.081.538;-345.781.909.512.788;Ravignani 2171 y Guatemala;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
183.0;Virrey Cevallos;-58.389.691.907.404.600;-346.156.376.341.942;México 1652 entre Virrey Cevallos y Solís;AUTOMÁTICA;jul-17;Estación automática: disponibilidad las 24 horas
184.0;Pedro Echague;-583.913.186.324.946;-34.630.678.908.608;Pedro Echague 1878 entre Combate de los Pozos y Av Entre Ríos;AUTOMÁTICA;ago-17;Estación automática: disponibilidad las 24 horas
185.0;Av Pavón y 33 Orientales;-584.217.825.750.943;-346.313.699.718.195;33 Orientales 1439, entre Av. Pavón y Av. Garay;AUTOMÁTICA;jul-17;Estación automática: disponibilidad las 24 horas
186.0;Catamarca;-5.840.714.252.984.550;-346.125.512.856.829;Adolfo Alsina 2910 y Catamarca;AUTOMÁTICA;jul-17;Estación automática: disponibilidad las 24 horas
187.0;Parque Rivadavia;-5.843.179.118.261.820;-34.617.666.753.946.100;Chaco 250;AUTOMÁTICA;ago-17;Estación automática: disponibilidad las 24 horas
188.0;Aranguren;-58.433.506.016.027;-346.107.962.769.337;Aranguren 188 entre Portugal y Eduardo Acevedo;AUTOMÁTICA;ago-17;Estación automática: disponibilidad las 24 horas
189.0;Posadas;-583.855.860.204.811;-34.588.474.694.640.600;Posadas 1350 entre Montevideo y Rodríguez Peña;AUTOMÁTICA;ago-17;Estación automática: disponibilidad las 24 horas
190.0;Juncal;-5.841.122.742.233.940;-345.850.777.556.995;Juncal 3320 y Jerónimo Salguero;AUTOMÁTICA;ago-17;Estación automática: disponibilidad las 24 horas
191.0;Rivadavia y 9 de Julio;-5.838.091.227.469.620;-34.608.231.785.988;Rivadavia y Carlos pellegrini;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
192.0;Talcahuano;-583.856.151.032.862;-345.977.988.046.358;Talcahuano 1034 y Marcelo T de Alvear;AUTOMÁTICA;jul-17;Estación automática: disponibilidad las 24 horas
193.0;Arenales y Agüero;-5.840.597.385.351.210;-34.591.110.880.844.600;Arenales 2882 y Aguero;;;
194.0;Perón y Francisco Acuña de Figueroa;-584.225.720.421.175;-34.605.952.483.313.300;Perón, Juan Domingo Tte 3989 entre Francisco Acuña de Figueroa y Medrano;AUTOMÁTICA;jul-17;Estación automática: disponibilidad las 24 horas
195.0;Plaza Garay;-58.387.453.831.513.600;-346.270.491.370.727;Av Juan de Garay y Luis Sáenz Peña;AUTOMÁTICA;ago-17;Estación automática: disponibilidad las 24 horas
196.0;Hospital Argerich;-5.836.601.904.882.370;-346.277.763.431.537;Pi y Margall 750 entre Necochea y Alte. Brown;AUTOMÁTICA;ago-17;Estación automática: disponibilidad las 24 horas
197.0;Quintino Bocayuva;-584.234.808.584.974;-346.135.962.625.509;Quintino Bocayuva y Don Bosco;AUTOMÁTICA;ago-17;Estación automática: disponibilidad las 24 horas
198.0;Hospital Sardá;-584.041.380.643.401;-346.343.800.087.707;Cátulo Castillo 2896 y Dean Funes;AUTOMÁTICA;ago-17;Estación automática: disponibilidad las 24 horas
199.0;Estados Unidos y Boedo;-58.415.881.554.842.900;-346.224.389.438.033;Estados Unidos 3568 entre Boedo y Maza;AUTOMÁTICA;ago-17;Estación automática: disponibilidad las 24 horas
200.0;Austria y French;-584.043.610.826.701;-345.881.914.580.956;Austria 2080 entre French y Juncal;AUTOMÁTICA;sep-17;Estación automática: disponibilidad las 24 horas
;CMD;;;;;;
;F. J. Santamaría de Oro;;;;;;
;Fitz Roy y Gorriti;;;;;;
;Ecoparque;;;;;;
