id_estacion;nombre_estacion;long_estacion;lat_estacion;domicilio_estacion;tipo_estacion;observaciones;horario_estacion
52.0;Sánchez de Bustamante;-584.146.677.521.709;-346.070.890.121.579;Sánchez de Bustamante y Perón Juan;AUTOMÁTICA;Nueva estación! - Septiembre 2015;Estación automática: disponibilidad las 24 horas
53.0;Ricardo Rojas;-583.742.822.955.873;-345.958.814.445.217;San Martín 1031;AUTOMÁTICA;Nueva estación! - Julio 2015;Estación automática: disponibilidad las 24 horas
54.0;Acuña de Figueroa;-584.217.046.052.783;-345.982.221.815.643;Lavalle y Acuña de Figueroa;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
55.0;Bouchard;-5.836.962.170.868.060;-34.599.337.457.664.100;Viamonte 101 y Bouchard;AUTOMÁTICA;jul-16;Estación automática: disponibilidad las 24 horas
56.0;Plaza Palermo Viejo;-58.425.072.429.468;-345.893.711.824.472;Costa Rica y Malabia;AUTOMÁTICA;Nueva estación! - Octubre 2015;Estación automática: disponibilidad las 24 horas
57.0;Belgrano;-58.370.576.623.393.700;-34.613.384.646.496.800;Balcarce 482 entre Belgrano y Venezuela;AUTOMÁTICA;Nueva estación! - Septiembre 2015;Estación automática: disponibilidad las 24 horas
58.0;Ministro Carranza;-5.843.462.631.699.820;-34.575.189.674.801;Santa Fe 5327 entre Dorrego y Arévalo;AUTOMÁTICA;Nueva estación! - Octubre 2015;Estación automática: disponibilidad las 24 horas
59.0;Coronel Díaz;-58.411.495.316.773.900;-345.902.244.780.447;Güemes 3328 y Coronel Diaz;AUTOMÁTICA;Nueva estación! - Febrero 2016;Estación automática: disponibilidad las 24 horas
60.0;25 de Mayo;-58.371.155.474.862.700;-346.016.384.998.143;25 de Mayo y Lavalle;AUTOMÁTICA;Nueva estación! - Agosto 2015;Estación automática: disponibilidad las 24 horas
61.0;Ministerio de Economía;-583.708.343.749.879;-346.090.860.400.313;Balcarce 101 entre Av. Hipólito Yrigoyen y Alsina;AUTOMÁTICA;Nueva estación! - Febrero 2016;Estación automática: disponibilidad las 24 horas
62.0;Córdoba;-583.769.007.239.132;-34.598.515.523.188;Maipú 820;AUTOMÁTICA;Nueva estación! - Julio 2015;Estación automática: disponibilidad las 24 horas
63.0;Reconquista;-58.372.723.516.254;-3.459.946.924.973;Reconquista 716 y Av Córdoba;AUTOMÁTICA;Nueva estación: 29/02/2016;Estación automática: disponibilidad las 24 horas
64.0;Riobamba;-58.394.439.682.611.700;-345.941.490.349.228;Riobamba y Juncal;AUTOMÁTICA;Nueva estación! - Enero 2016;Estación automática: disponibilidad las 24 horas
65.0;Julián Álvarez;-584.159.396.842.283;-345.872.157.390.033;Güemes 3822 entre Julián Álvarez y Araoz;AUTOMÁTICA;Nueva estación! - Febrero 2016;Estación automática: disponibilidad las 24 horas
66.0;Billinghurst;-5.841.385.892.691;-345.946.291.440.332;De la Cárcova 3508;AUTOMÁTICA;jun-16;Estación automática: disponibilidad las 24 horas
67.0;Senillosa;-58.425.477.470.589;-346.385.009.158.718;Senillosa 1905 y zañartú;AUTOMÁTICA;ago-16;Estación automática: disponibilidad las 24 horas
68.0;Rivarola;-583.853.975.745.649;-346.066.473.499.434;Dr. Rodolfo Rivarola 175 entre Tte. Gral. Juan Domingo Perón y Bartolomé Mitre;AUTOMÁTICA;Nueva estación! - Septiembre 2015;Estación automática: disponibilidad las 24 horas
69.0;Ecuador;-584.043.560.649.594;-345.958.623.506.374;Ecuador 1200 y Mansilla;AUTOMÁTICA;Nueva estación! - Febrero 2016;Estación automática: disponibilidad las 24 horas
70.0;Aráoz;-58.425.816.435.958.200;-34.592.672.511.996.700;Aráoz 1413 entre Gorriti y Honduras;AUTOMÁTICA;jun-16;Estación automática: disponibilidad las 24 horas
71.0;Cerrito;-5.838.284.296.772.060;-346.029.957.670.657;Av. Roque Saenz Peña 1149 entre Libertad y Cerrito;AUTOMÁTICA;"Nueva estación! - Febrero 2016 (antes figuraba con nombre ""Libertad"")";Estación automática: disponibilidad las 24 horas
72.0;Venezuela;-583.745.525.014.373;-34.613.650.393.454.900;Perú 490 y Venezuela;AUTOMÁTICA;Nueva estación: 29/02/2016;Estación automática: disponibilidad las 24 horas
73.0;Ruy Díaz de Guzmán;-583.717.059.086.228;-346.308.122.093.612;Ruy Díaz de Guzmán y Av. Martín García;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
74.0;Instituto Leloir;-58.434.242.799.113.900;-34.604.571.775.755;Av. Patricias Argentinas 401, entre Juana de Ibarbourou y Av. Machado;AUTOMÁTICA;Nueva estación! - Febrero 2016;Estación automática: disponibilidad las 24 horas
75.0;Plaza Primero de Mayo;-58.398.904.702.934.100;-346.121.235.856.114;Pichincha entre Adolfo Alsina y Moreno;AUTOMÁTICA;dic-16;Estación automática: disponibilidad las 24 horas
76.0;Ayacucho;-583.949.273.062.838;-34.607.572.645.092;Ayacucho entre Perón Juan y Bartolomé Mitre;AUTOMÁTICA;Nueva estación! - Enero 2016;Estación automática: disponibilidad las 24 horas
77.0;Sarandí;-583.948.309.043.474;-346.112.703.094.325;Sarandí entre Adolfo Alsina e Hipólito Yrigoyen;AUTOMÁTICA;dic-16;Estación automática: disponibilidad las 24 horas
78.0;Suipacha y Arroyo;-583.803.382.442.443;-345.914.156.869.824;Arroyo y Suipacha;AUTOMÁTICA;"Agosto 2016 - En Julio de 2017 cambió su nombre y ubicación. Antes era ""Arroyo""";Estación automática: disponibilidad las 24 horas
79.0;Azucena Villaflor;-583.639.690.795.297;-34.611.720.675.269.300;Azucena Villaflor y Pierina Dealessi;AUTOMÁTICA;dic-16;Estación automática: disponibilidad las 24 horas
80.0;Doblas;-58.430.319.869.395.500;-346.241.295.471.149;Doblas 608 y Valle;AUTOMÁTICA;ago-16;Estación automática: disponibilidad las 24 horas
81.0;Balcarce;-583.708.787.659.055;-346.158.474.133.672;Balcarce 683 entre Chile y Defensa;AUTOMÁTICA;jun-16;Estación automática: disponibilidad las 24 horas
82.0;Hospital Italiano;-584.262.666.390.011;-34.607.429.501.613.000;Rawson entre Potosí y Díaz Vélez;AUTOMÁTICA;Nueva estación! - Febrero 2016;Estación automática: disponibilidad las 24 horas
83.0;Paraná;-58.388.415.093.700.100;-34.603.004.436.286.500;Lavalle enttre Montevideo y Paraná;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
84.0;Lavalle;-583.954.716.595.379;-346.022.901.190.225;Ayacucho 595 entre Tucumán y Lavalle;AUTOMÁTICA;jun-16;Estación automática: disponibilidad las 24 horas
85.0;Agüero;-58.409.034.003.474;-345.946.161.105.705;Aguero y Mansilla;;;
86.0;Saavedra;-58.401.720.369.330.700;-34.621.356.081.357.600;Saavedra 1027 entre Carlos Calvo Y Humberto 1º;AUTOMÁTICA;sep-16;Estación automática: disponibilidad las 24 horas
87.0;Guayaquil;-58.431.535.896.984.600;-346.198.285.372.612;Guayaquil 213 y Doblas;AUTOMÁTICA;Nueva! Septiembre 2016;Estación automática: disponibilidad las 24 horas
88.0;Misiones;-58.404.230.050.846;-346.128.670.912.616;Misiones entre Adolfo Alsina y Moreno;AUTOMÁTICA;Agosto de 2016;Estación automática: disponibilidad las 24 horas
89.0;Cabello;-584.053.126.989.307;-345.824.723.755.753;Cabello entre Cnel Díaz y Ortiz de Ocampo;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
90.0;Gutiérrez;-58.399.368.569.691;-345.871.172.067.942;Juan Maria Gutiérrez entre Aguero y Laprida;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
91.0;Pasco;-58.397.547.065.967.900;-346.174.914.920.679;Pasco 708 entre Chile y Av Independencia;AUTOMÁTICA;jul-16;Estación automática: disponibilidad las 24 horas
92.0;Salcedo;-584.050.191.499.757;-346.317.246.877.284;Salcedo 2908 y Dean Funes;AUTOMÁTICA;dic-16;Estación automática: disponibilidad las 24 horas
